Id,Old Name,New Name,Notes
7681,Solr Bear Infused Pre-roll Vamoose,Edgemont Group Llc Solr Bear Vamoose Infused Pre-roll 1g,renamed
7654,Knots Hash Rosin Infused Pre-Rolls - Trop Cherries x GMO Rosin- 1g,Green Beard Co Knots Tropicana Cookies Infused Pre-roll 1g,renamed
7649,Knots Infused Pre-roll Lemon Peel x Trop-Aid - 1g,Green Beard Co Knots Lemon Peel X Trop-aid Infused Pre-roll 1g,renamed
7645,Knots Hash Rosin - GMO - 1g,Green Beard Co Knots Gmo Hash Rosin 1g,renamed
7639,Doozies - Pineapple THC FLY 10 Pack (80g) (100mg THC),Green Revolution Doozies Pineapple Edible 3,renamed
7618,Mfused Disposable Cartridge Planet of the Grapes - 1g,Mfused Planet Of The Grapes Disposable Cartridge 4,renamed
7606,mfused disposable Cartridge Chocolope,Mfused Chocolope Disposable Cartridge 3,renamed
7581,Stone city infused pre-roll gg#4 1g,Cannabis Northwest C-m Inc Stone City Gg 4 Infused Pre-roll 1g,renamed
7577,Stone City Shatter - Strawberry Sugar - 1g,Cannabis Northwest C-m Inc Stone City Strawberry Sugar Shatter 1g,renamed
7552,Blush Velvet cold cure rosin Alien OZ 1g,Alpha Crux Llc Blush Velvet Alien Oz Rosin 1g,renamed
7539,Hellavated infused pre-roll Cherry Pie .75g,Avitas Hellavated Cherry Pie Infused Pre-roll 2,renamed
7495,Shatter J's Infused Pre-roll Grape - 1g,Mountain Hi Shatter J's Grape Infused Pre-roll 3,renamed
7430,Sub X Rosin Fatso,Subx Sub X Fatso Rosin 1g,renamed
7411,Royal Tree Rosin Push Pop 1g,Royal Tree Gardens Royal Tree Push Pop Rosin 1g,renamed
7409,Royal Tree Rosin Super Silver Haze 1g,Royal Tree Gardens Royal Tree Super Silver Haze Rosin 1g,renamed
7408,Roayl Tree Rosin Dante's Inferno 1g,Royal Tree Gardens Royal Tree Dante's Inferno Rosin 1g,renamed
7373,Ooowee - 5/1g Pre-Roll - Ooowee - Ooowee Marker - 5g,R B Group Ooowee Ooowee Marker Pre-roll 5g,renamed
7329,Ooowee - 1g Hydrocarbon Concentrate - Ooowee - Late Bloomer - 1g,R B Group Ooowee Late Bloomer Bho 1g,renamed
7314,lifted vendor sample pre-roll truffle icing,Lifted Cannabis Lifted Truffle Icing Pre-roll 0.5g,renamed
7232,Picc Pre-roll Project Pound Cake 1g,Washington Packaging And Processing Picc Project Pound Cake Pre-roll 1g,renamed
7231,Picc Pre-roll Tree Co Biker Gelato 1g,Washington Packaging And Processing Picc Co Biker Gelato Pre-roll 1g,renamed
7230,Picc Pre-roll Crumpets 1g,Washington Packaging And Processing Picc Crumpets Pre-roll 1g,renamed
7229,Picc Pre-roll Carrot Cake Rainier 1g,Washington Packaging And Processing Picc Carrot Cake Pre-roll 1g,renamed
7228,Ichi-Roll pre-roll Jet Fuel 1g,Washington Packaging And Processing Picc Jet Fuel Pre-roll 1g,renamed
7227,Ichi-Roll pre-roll Fernando's Hideaway 1g,Washington Packaging And Processing Picc Fernando's Hideaway Pre-roll 1g,renamed
7226,Ichi-Roll pre-roll Jealousy 1g,Washington Packaging And Processing Picc Jealousy Pre-roll 1g,renamed
